Vendor purchase budget by client and month (vendor name only),,,,,,,,,
budget = purchase_budget × (vendor_avg_per_month / sum of client vendor avgs),,,,,,,,,
Client,Plan month,Sales month,Net sales 2025,Purchase budget 60%,Vendor,Delivery day(s),Vendor avg/mo,Share,Budget for vendor
Arco Garden Grove,Dec 2026,Dec 2025,136904.48,82142.69,Red Bull,Friday,2475.04,0.06039910596125881,4961.35
Arco Garden Grove,Dec 2026,Dec 2025,136904.48,82142.69,7UP,Monday,970.09,0.02367338253198234,1944.6
Arco Garden Grove,Nov 2026,Nov 2025,128223.2,76933.92,Core-Mark,Monday,33083.2,0.807338751025243,62111.73
Arco Garden Grove,Nov 2026,Nov 2025,128223.2,76933.92,Frito Lay,Friday,4449.76,0.1085887604815159,8354.16
Arco Garden Grove,Nov 2026,Nov 2025,128223.2,76933.92,Red Bull,Friday,2475.04,0.06039910596125881,4646.74
Arco Garden Grove,Nov 2026,Nov 2025,128223.2,76933.92,7UP,Monday,970.09,0.02367338253198234,1821.29
Arco Garden Grove,Oct 2026,Oct 2025,153698.45,92219.07,Core-Mark,Monday,33083.2,0.807338751025243,74452.03
Arco Garden Grove,Oct 2026,Oct 2025,153698.45,92219.07,Frito Lay,Friday,4449.76,0.1085887604815159,10013.95
Arco Garden Grove,Oct 2026,Oct 2025,153698.45,92219.07,Red Bull,Friday,2475.04,0.06039910596125881,5569.95
Arco Garden Grove,Oct 2026,Oct 2025,153698.45,92219.07,7UP,Monday,970.09,0.02367338253198234,2183.14
